NDF v9.6a 30Oct13 rev 17Jan14 run 01/07/2021 17:14:38 Filename: ndff5001.dat Chris Jeynes (HVEE 2MV Tandetron, Stephens Lab), University of Surrey Ion Beam Centre
batch ndf.spc                                                                       
str ag100au.str                                                                   
file 790069RAu.txt                                                                 
geo rbs.geo                                                                       
 channel data fit
    1 0.53000E+02 0.34530E+03
    2 0.27000E+02 0.29874E+03
    3 0.22000E+02 0.35723E+03
    4 0.10000E+02 0.36310E+03
    5 0.25000E+02 0.31635E+03
    6 0.20000E+02 0.32209E+03
    7 0.20000E+02 0.32858E+03
    8 0.12000E+02 0.33582E+03
    9 0.31000E+02 0.34299E+03
   10 0.17000E+02 0.35007E+03
   11 0.80000E+01 0.35695E+03
   12 0.80000E+01 0.36363E+03
   13 0.15000E+02 0.37022E+03
   14 0.11000E+02 0.37673E+03
   15 0.17000E+02 0.38294E+03
   16 0.14410E+04 0.38887E+03
   17 0.28770E+04 0.39470E+03
   18 0.27560E+04 0.40044E+03
   19 0.28740E+04 0.40599E+03
   20 0.28460E+04 0.41135E+03
   21 0.25840E+04 0.41662E+03
   22 0.26030E+04 0.42180E+03
   23 0.26960E+04 0.42673E+03
   24 0.26370E+04 0.43143E+03
   25 0.25100E+04 0.43603E+03
   26 0.25200E+04 0.44054E+03
   27 0.25650E+04 0.44470E+03
   28 0.26380E+04 0.44852E+03
   29 0.25550E+04 0.45224E+03
   30 0.24870E+04 0.45588E+03
   31 0.26240E+04 0.45975E+03
   32 0.26110E+04 0.46383E+03
   33 0.25580E+04 0.46783E+03
   34 0.24870E+04 0.47176E+03
   35 0.25260E+04 0.47539E+03
   36 0.25590E+04 0.47871E+03
   37 0.25550E+04 0.48197E+03
   38 0.25650E+04 0.48516E+03
   39 0.26030E+04 0.48833E+03
   40 0.25640E+04 0.49148E+03
   41 0.25970E+04 0.49456E+03
   42 0.25780E+04 0.49759E+03
   43 0.26150E+04 0.50060E+03
   44 0.25800E+04 0.50358E+03
   45 0.25450E+04 0.50652E+03
   46 0.25740E+04 0.50941E+03
   47 0.26270E+04 0.51197E+03
   48 0.26400E+04 0.51421E+03
   49 0.25510E+04 0.51640E+03
   50 0.26350E+04 0.51856E+03
   51 0.26700E+04 0.52073E+03
   52 0.27970E+04 0.52292E+03
   53 0.27640E+04 0.52509E+03
   54 0.26630E+04 0.52722E+03
   55 0.26210E+04 0.52956E+03
   56 0.27940E+04 0.53210E+03
   57 0.26520E+04 0.53462E+03
   58 0.27510E+04 0.53712E+03
   59 0.27030E+04 0.53951E+03
   60 0.27560E+04 0.54179E+03
   61 0.27570E+04 0.54405E+03
   62 0.26580E+04 0.54629E+03
   63 0.27080E+04 0.54849E+03
