NDF v9.6a 30Oct13 rev 17Jan14 run 01/07/2021 17:14:33 Filename: ndff3301.dat Chris Jeynes (HVEE 2MV Tandetron, Stephens Lab), University of Surrey Ion Beam Centre
batch ndf.spc                                                                       
str ag15au.str                                                                    
file 790069RAu.txt                                                                 
geo rbs.geo                                                                       
 channel data fit
    1 0.53000E+02 0.94227E+03
    2 0.27000E+02 0.90587E+03
    3 0.22000E+02 0.97427E+03
    4 0.10000E+02 0.98978E+03
    5 0.25000E+02 0.95239E+03
    6 0.20000E+02 0.96720E+03
    7 0.20000E+02 0.98247E+03
    8 0.12000E+02 0.99819E+03
    9 0.31000E+02 0.10135E+04
   10 0.17000E+02 0.10285E+04
   11 0.80000E+01 0.10429E+04
   12 0.80000E+01 0.10568E+04
   13 0.15000E+02 0.10703E+04
   14 0.11000E+02 0.10835E+04
   15 0.17000E+02 0.10960E+04
   16 0.14410E+04 0.11079E+04
   17 0.28770E+04 0.11194E+04
   18 0.27560E+04 0.11306E+04
   19 0.28740E+04 0.11412E+04
   20 0.28460E+04 0.11514E+04
   21 0.25840E+04 0.11612E+04
   22 0.26030E+04 0.11707E+04
   23 0.26960E+04 0.11796E+04
   24 0.26370E+04 0.11880E+04
   25 0.25100E+04 0.11961E+04
   26 0.25200E+04 0.12039E+04
   27 0.25650E+04 0.12111E+04
   28 0.26380E+04 0.12178E+04
   29 0.25550E+04 0.12241E+04
   30 0.24870E+04 0.12302E+04
   31 0.26240E+04 0.12363E+04
   32 0.26110E+04 0.12424E+04
   33 0.25580E+04 0.12484E+04
   34 0.24870E+04 0.12541E+04
   35 0.25260E+04 0.12593E+04
   36 0.25590E+04 0.12642E+04
   37 0.25550E+04 0.12688E+04
   38 0.25650E+04 0.12733E+04
   39 0.26030E+04 0.12777E+04
   40 0.25640E+04 0.12820E+04
   41 0.25970E+04 0.12861E+04
   42 0.25780E+04 0.12901E+04
   43 0.26150E+04 0.12940E+04
   44 0.25800E+04 0.12979E+04
   45 0.25450E+04 0.13017E+04
   46 0.25740E+04 0.13054E+04
   47 0.26270E+04 0.13087E+04
   48 0.26400E+04 0.13117E+04
   49 0.25510E+04 0.13147E+04
   50 0.26350E+04 0.13176E+04
   51 0.26700E+04 0.13205E+04
   52 0.27970E+04 0.13235E+04
   53 0.27640E+04 0.13264E+04
   54 0.26630E+04 0.13294E+04
   55 0.26210E+04 0.13325E+04
   56 0.27940E+04 0.13359E+04
   57 0.26520E+04 0.13392E+04
   58 0.27510E+04 0.13426E+04
   59 0.27030E+04 0.13459E+04
   60 0.27560E+04 0.13491E+04
   61 0.27570E+04 0.13524E+04
   62 0.26580E+04 0.13556E+04
   63 0.27080E+04 0.13588E+04
   64 0.28790E+04 0.13621E+04
   65 0.27380E+04 0.13653E+04
   66 0.27990E+04 0.13686E+04
   67 0.27400E+04 0.13721E+04
   68 0.29300E+04 0.13757E+04
   69 0.28440E+04 0.13793E+04
   70 0.27940E+04 0.13830E+04
   71 0.27190E+04 0.13864E+04
   72 0.28340E+04 0.13896E+04
   73 0.29220E+04 0.13928E+04
   74 0.27980E+04 0.13960E+04
   75 0.27950E+04 0.13996E+04
   76 0.29340E+04 0.14035E+04
   77 0.28720E+04 0.14075E+04
   78 0.28350E+04 0.14115E+04
   79 0.27370E+04 0.14154E+04
   80 0.28220E+04 0.14193E+04
   81 0.28330E+04 0.14231E+04
   82 0.27620E+04 0.14270E+04
   83 0.28640E+04 0.14308E+04
   84 0.28420E+04 0.14344E+04
   85 0.29620E+04 0.14380E+04
   86 0.29460E+04 0.14416E+04
   87 0.27890E+04 0.14455E+04
   88 0.28790E+04 0.14497E+04
   89 0.28310E+04 0.14539E+04
   90 0.28610E+04 0.14581E+04
   91 0.28990E+04 0.14621E+04
   92 0.29090E+04 0.14659E+04
   93 0.29340E+04 0.14697E+04
   94 0.29270E+04 0.14734E+04
   95 0.28230E+04 0.14773E+04
   96 0.30310E+04 0.14811E+04
   97 0.29660E+04 0.14849E+04
   98 0.29020E+04 0.14887E+04
   99 0.28880E+04 0.14926E+04
  100 0.29960E+04 0.14966E+04
  101 0.30260E+04 0.15005E+04
  102 0.29420E+04 0.15044E+04
  103 0.28600E+04 0.15085E+04
  104 0.30450E+04 0.15128E+04
  105 0.29830E+04 0.15170E+04
  106 0.28110E+04 0.15212E+04
  107 0.28860E+04 0.15253E+04
  108 0.30760E+04 0.15293E+04
  109 0.28780E+04 0.15332E+04
  110 0.29970E+04 0.15372E+04
  111 0.28420E+04 0.15411E+04
  112 0.30780E+04 0.15450E+04
  113 0.29460E+04 0.15489E+04
  114 0.29090E+04 0.15528E+04
  115 0.29030E+04 0.15566E+04
  116 0.30850E+04 0.15603E+04
  117 0.29870E+04 0.15640E+04
  118 0.28380E+04 0.15677E+04
  119 0.30530E+04 0.15714E+04
  120 0.30800E+04 0.15753E+04
  121 0.29600E+04 0.15791E+04
  122 0.28960E+04 0.15829E+04
  123 0.29350E+04 0.15865E+04
  124 0.30200E+04 0.15900E+04
  125 0.30230E+04 0.15934E+04
  126 0.29900E+04 0.15968E+04
  127 0.29740E+04 0.16004E+04
  128 0.30040E+04 0.16040E+04
  129 0.30110E+04 0.16075E+04
  130 0.30270E+04 0.16111E+04
  131 0.29010E+04 0.16148E+04
  132 0.30870E+04 0.16186E+04
  133 0.29990E+04 0.16223E+04
  134 0.28510E+04 0.16261E+04
  135 0.29180E+04 0.16298E+04
  136 0.30730E+04 0.16335E+04
