NDF v9.6a 30Oct13 rev 17Jan14 run 01/07/2021 17:14:32 Filename: ndff3101.dat Chris Jeynes (HVEE 2MV Tandetron, Stephens Lab), University of Surrey Ion Beam Centre
batch ndf.spc                                                                       
str ag5au.str                                                                     
file 790069RAu.txt                                                                 
geo rbs.geo                                                                       
 channel data fit
    1 0.53000E+02 0.97824E+03
    2 0.27000E+02 0.94289E+03
    3 0.22000E+02 0.10124E+04
    4 0.10000E+02 0.10291E+04
    5 0.25000E+02 0.99289E+03
    6 0.20000E+02 0.10090E+04
    7 0.20000E+02 0.10256E+04
    8 0.12000E+02 0.10427E+04
    9 0.31000E+02 0.10594E+04
   10 0.17000E+02 0.10759E+04
   11 0.80000E+01 0.10918E+04
   12 0.80000E+01 0.11073E+04
   13 0.15000E+02 0.11224E+04
   14 0.11000E+02 0.11372E+04
   15 0.17000E+02 0.11514E+04
   16 0.14410E+04 0.11650E+04
   17 0.28770E+04 0.11783E+04
   18 0.27560E+04 0.11911E+04
   19 0.28740E+04 0.12035E+04
   20 0.28460E+04 0.12155E+04
   21 0.25840E+04 0.12270E+04
   22 0.26030E+04 0.12382E+04
   23 0.26960E+04 0.12489E+04
   24 0.26370E+04 0.12591E+04
   25 0.25100E+04 0.12689E+04
   26 0.25200E+04 0.12783E+04
   27 0.25650E+04 0.12872E+04
   28 0.26380E+04 0.12955E+04
   29 0.25550E+04 0.13034E+04
   30 0.24870E+04 0.13111E+04
   31 0.26240E+04 0.13187E+04
   32 0.26110E+04 0.13263E+04
   33 0.25580E+04 0.13336E+04
   34 0.24870E+04 0.13407E+04
   35 0.25260E+04 0.13473E+04
   36 0.25590E+04 0.13534E+04
   37 0.25550E+04 0.13592E+04
   38 0.25650E+04 0.13648E+04
   39 0.26030E+04 0.13703E+04
   40 0.25640E+04 0.13755E+04
   41 0.25970E+04 0.13806E+04
   42 0.25780E+04 0.13855E+04
   43 0.26150E+04 0.13902E+04
   44 0.25800E+04 0.13948E+04
   45 0.25450E+04 0.13993E+04
   46 0.25740E+04 0.14036E+04
   47 0.26270E+04 0.14075E+04
   48 0.26400E+04 0.14110E+04
   49 0.25510E+04 0.14144E+04
   50 0.26350E+04 0.14177E+04
   51 0.26700E+04 0.14209E+04
   52 0.27970E+04 0.14241E+04
   53 0.27640E+04 0.14273E+04
   54 0.26630E+04 0.14304E+04
   55 0.26210E+04 0.14336E+04
   56 0.27940E+04 0.14371E+04
   57 0.26520E+04 0.14405E+04
   58 0.27510E+04 0.14438E+04
   59 0.27030E+04 0.14471E+04
   60 0.27560E+04 0.14502E+04
   61 0.27570E+04 0.14534E+04
   62 0.26580E+04 0.14565E+04
   63 0.27080E+04 0.14596E+04
   64 0.28790E+04 0.14626E+04
   65 0.27380E+04 0.14657E+04
   66 0.27990E+04 0.14687E+04
   67 0.27400E+04 0.14720E+04
   68 0.29300E+04 0.14753E+04
   69 0.28440E+04 0.14787E+04
   70 0.27940E+04 0.14822E+04
   71 0.27190E+04 0.14853E+04
   72 0.28340E+04 0.14882E+04
   73 0.29220E+04 0.14911E+04
   74 0.27980E+04 0.14941E+04
   75 0.27950E+04 0.14974E+04
   76 0.29340E+04 0.15011E+04
   77 0.28720E+04 0.15049E+04
   78 0.28350E+04 0.15086E+04
   79 0.27370E+04 0.15123E+04
   80 0.28220E+04 0.15160E+04
   81 0.28330E+04 0.15196E+04
   82 0.27620E+04 0.15233E+04
   83 0.28640E+04 0.15268E+04
   84 0.28420E+04 0.15303E+04
   85 0.29620E+04 0.15337E+04
   86 0.29460E+04 0.15372E+04
   87 0.27890E+04 0.15410E+04
   88 0.28790E+04 0.15450E+04
   89 0.28310E+04 0.15491E+04
   90 0.28610E+04 0.15532E+04
   91 0.28990E+04 0.15571E+04
   92 0.29090E+04 0.15608E+04
   93 0.29340E+04 0.15646E+04
   94 0.29270E+04 0.15683E+04
   95 0.28230E+04 0.15721E+04
   96 0.30310E+04 0.15759E+04
   97 0.29660E+04 0.15797E+04
   98 0.29020E+04 0.15835E+04
   99 0.28880E+04 0.15874E+04
  100 0.29960E+04 0.15914E+04
  101 0.30260E+04 0.15953E+04
  102 0.29420E+04 0.15993E+04
  103 0.28600E+04 0.16034E+04
  104 0.30450E+04 0.16077E+04
  105 0.29830E+04 0.16120E+04
  106 0.28110E+04 0.16163E+04
  107 0.28860E+04 0.16205E+04
  108 0.30760E+04 0.16246E+04
  109 0.28780E+04 0.16286E+04
  110 0.29970E+04 0.16326E+04
  111 0.28420E+04 0.16366E+04
  112 0.30780E+04 0.16406E+04
  113 0.29460E+04 0.16446E+04
  114 0.29090E+04 0.16486E+04
  115 0.29030E+04 0.16525E+04
  116 0.30850E+04 0.16563E+04
  117 0.29870E+04 0.16602E+04
  118 0.28380E+04 0.16640E+04
  119 0.30530E+04 0.16678E+04
  120 0.30800E+04 0.16718E+04
  121 0.29600E+04 0.16757E+04
  122 0.28960E+04 0.16797E+04
  123 0.29350E+04 0.16834E+04
  124 0.30200E+04 0.16870E+04
  125 0.30230E+04 0.16905E+04
  126 0.29900E+04 0.16940E+04
  127 0.29740E+04 0.16976E+04
  128 0.30040E+04 0.17013E+04
  129 0.30110E+04 0.17050E+04
  130 0.30270E+04 0.17087E+04
  131 0.29010E+04 0.17125E+04
  132 0.30870E+04 0.17164E+04
  133 0.29990E+04 0.17202E+04
  134 0.28510E+04 0.17241E+04
  135 0.29180E+04 0.17279E+04
  136 0.30730E+04 0.17317E+04
  137 0.28670E+04 0.17355E+04
  138 0.29090E+04 0.17392E+04
  139 0.28700E+04 0.17424E+04
  140 0.29600E+04 0.17449E+04
  141 0.30430E+04 0.17475E+04
  142 0.29890E+04 0.17500E+04
  143 0.29460E+04 0.17529E+04
  144 0.31220E+04 0.17561E+04
  145 0.30330E+04 0.17594E+04
  146 0.29590E+04 0.17626E+04
  147 0.29260E+04 0.17661E+04
  148 0.31140E+04 0.17698E+04
  149 0.29790E+04 0.17734E+04
  150 0.29510E+04 0.17771E+04
  151 0.28560E+04 0.17802E+04
  152 0.28430E+04 0.17830E+04
  153 0.29100E+04 0.17857E+04
  154 0.29470E+04 0.17883E+04
  155 0.29090E+04 0.17911E+04
  156 0.30090E+04 0.17940E+04
  157 0.29540E+04 0.17968E+04
  158 0.27880E+04 0.17996E+04
  159 0.29470E+04 0.18024E+04
  160 0.30690E+04 0.18052E+04
  161 0.28760E+04 0.18080E+04
  162 0.29380E+04 0.18107E+04
  163 0.28960E+04 0.18134E+04
  164 0.30230E+04 0.18160E+04
  165 0.28040E+04 0.18187E+04
  166 0.29740E+04 0.18213E+04
  167 0.28700E+04 0.18238E+04
  168 0.29600E+04 0.18263E+04
  169 0.29350E+04 0.18288E+04
  170 0.29110E+04 0.18313E+04
  171 0.28090E+04 0.18337E+04
  172 0.29300E+04 0.18361E+04
  173 0.29360E+04 0.18385E+04
  174 0.28480E+04 0.18409E+04
  175 0.28840E+04 0.18432E+04
  176 0.28930E+04 0.18453E+04
  177 0.28940E+04 0.18474E+04
  178 0.28930E+04 0.18494E+04
  179 0.28840E+04 0.18516E+04
  180 0.30180E+04 0.18539E+04
  181 0.29470E+04 0.18561E+04
  182 0.29030E+04 0.18583E+04
  183 0.28620E+04 0.18606E+04
  184 0.29560E+04 0.18629E+04
  185 0.28950E+04 0.18653E+04
  186 0.28240E+04 0.18676E+04
  187 0.28780E+04 0.18696E+04
  188 0.29360E+04 0.18713E+04
  189 0.29550E+04 0.18730E+04
  190 0.29020E+04 0.18747E+04
  191 0.28690E+04 0.18767E+04
  192 0.29440E+04 0.18789E+04
  193 0.27770E+04 0.18812E+04
  194 0.28850E+04 0.18834E+04
  195 0.27920E+04 0.18856E+04
  196 0.30170E+04 0.18877E+04
  197 0.27480E+04 0.18898E+04
  198 0.28490E+04 0.18919E+04
  199 0.27540E+04 0.18940E+04
  200 0.29550E+04 0.18959E+04
  201 0.27560E+04 0.18979E+04
  202 0.27180E+04 0.18998E+04
  203 0.27770E+04 0.19017E+04
  204 0.29410E+04 0.19034E+04
  205 0.27380E+04 0.19051E+04
  206 0.28740E+04 0.19068E+04
  207 0.27470E+04 0.19085E+04
  208 0.28620E+04 0.19102E+04
  209 0.28090E+04 0.19119E+04
  210 0.27730E+04 0.19137E+04
  211 0.27220E+04 0.19154E+04
  212 0.29160E+04 0.19173E+04
  213 0.27200E+04 0.19192E+04
  214 0.27540E+04 0.19211E+04
  215 0.27620E+04 0.19227E+04
  216 0.27800E+04 0.19241E+04
  217 0.27990E+04 0.19255E+04
  218 0.28120E+04 0.19269E+04
  219 0.27770E+04 0.19286E+04
  220 0.27670E+04 0.19307E+04
  221 0.26750E+04 0.19328E+04
  222 0.26820E+04 0.19349E+04
  223 0.26750E+04 0.19367E+04
  224 0.27830E+04 0.19380E+04
  225 0.26900E+04 0.19394E+04
  226 0.26720E+04 0.19408E+04
  227 0.27060E+04 0.19422E+04
  228 0.28440E+04 0.19436E+04
  229 0.27540E+04 0.19450E+04
  230 0.27000E+04 0.19464E+04
  231 0.26440E+04 0.19479E+04
  232 0.28940E+04 0.19495E+04
  233 0.27130E+04 0.19511E+04
  234 0.26610E+04 0.19527E+04
  235 0.27300E+04 0.19543E+04
  236 0.27690E+04 0.19560E+04
  237 0.26850E+04 0.19576E+04
  238 0.25860E+04 0.19592E+04
  239 0.26380E+04 0.19608E+04
  240 0.28260E+04 0.19624E+04
  241 0.26290E+04 0.19639E+04
  242 0.26100E+04 0.19654E+04
  243 0.27060E+04 0.19667E+04
  244 0.26860E+04 0.19678E+04
  245 0.27300E+04 0.19688E+04
  246 0.27990E+04 0.19698E+04
  247 0.25920E+04 0.19713E+04
  248 0.27390E+04 0.19731E+04
  249 0.26270E+04 0.19749E+04
  250 0.26760E+04 0.19767E+04
  251 0.25300E+04 0.19782E+04
  252 0.27410E+04 0.19795E+04
  253 0.26010E+04 0.19808E+04
  254 0.25590E+04 0.19821E+04
  255 0.27080E+04 0.19833E+04
  256 0.27240E+04 0.19846E+04
  257 0.26430E+04 0.19859E+04
  258 0.26010E+04 0.19872E+04
  259 0.26320E+04 0.19884E+04
  260 0.26810E+04 0.19896E+04
  261 0.27750E+04 0.19908E+04
  262 0.25920E+04 0.19920E+04
  263 0.25610E+04 0.19933E+04
  264 0.26770E+04 0.19946E+04
  265 0.26340E+04 0.19960E+04
  266 0.27430E+04 0.19973E+04
  267 0.25940E+04 0.19987E+04
  268 0.25730E+04 0.20002E+04
  269 0.25910E+04 0.20017E+04
  270 0.26240E+04 0.20031E+04
  271 0.25320E+04 0.20045E+04
  272 0.26270E+04 0.20059E+04
  273 0.25420E+04 0.20072E+04
  274 0.26080E+04 0.20085E+04
  275 0.25500E+04 0.20099E+04
  276 0.25590E+04 0.20113E+04
  277 0.25250E+04 0.20127E+04
  278 0.25380E+04 0.20140E+04
  279 0.24680E+04 0.20152E+04
  280 0.25700E+04 0.20162E+04
