NDF v9.6a 30Oct13 rev 17Jan14 run 01/07/2021 17:14:36 Filename: ndff4201.dat Chris Jeynes (HVEE 2MV Tandetron, Stephens Lab), University of Surrey Ion Beam Centre
batch ndf.spc                                                                       
str ag60au.str                                                                    
file 790069RAu.txt                                                                 
geo rbs.geo                                                                       
 channel data fit
    1 0.53000E+02 0.57890E+03
    2 0.27000E+02 0.53634E+03
    3 0.22000E+02 0.59881E+03
    4 0.10000E+02 0.60866E+03
    5 0.25000E+02 0.56588E+03
    6 0.20000E+02 0.57556E+03
    7 0.20000E+02 0.58598E+03
    8 0.12000E+02 0.59712E+03
    9 0.31000E+02 0.60817E+03
   10 0.17000E+02 0.61910E+03
   11 0.80000E+01 0.62981E+03
   12 0.80000E+01 0.64029E+03
   13 0.15000E+02 0.65065E+03
   14 0.11000E+02 0.66089E+03
   15 0.17000E+02 0.67081E+03
   16 0.14410E+04 0.68039E+03
   17 0.28770E+04 0.68985E+03
   18 0.27560E+04 0.69917E+03
   19 0.28740E+04 0.70826E+03
   20 0.28460E+04 0.71711E+03
   21 0.25840E+04 0.72583E+03
   22 0.26030E+04 0.73440E+03
   23 0.26960E+04 0.74269E+03
   24 0.26370E+04 0.75068E+03
   25 0.25100E+04 0.75853E+03
   26 0.25200E+04 0.76623E+03
   27 0.25650E+04 0.77353E+03
   28 0.26380E+04 0.78043E+03
   29 0.25550E+04 0.78719E+03
   30 0.24870E+04 0.79380E+03
   31 0.26240E+04 0.80058E+03
   32 0.26110E+04 0.80752E+03
   33 0.25580E+04 0.81432E+03
   34 0.24870E+04 0.82098E+03
   35 0.25260E+04 0.82729E+03
   36 0.25590E+04 0.83323E+03
   37 0.25550E+04 0.83905E+03
   38 0.25650E+04 0.84473E+03
   39 0.26030E+04 0.85034E+03
   40 0.25640E+04 0.85586E+03
   41 0.25970E+04 0.86126E+03
   42 0.25780E+04 0.86655E+03
   43 0.26150E+04 0.87175E+03
   44 0.25800E+04 0.87688E+03
   45 0.25450E+04 0.88190E+03
   46 0.25740E+04 0.88681E+03
   47 0.26270E+04 0.89134E+03
   48 0.26400E+04 0.89549E+03
   49 0.25510E+04 0.89954E+03
   50 0.26350E+04 0.90350E+03
   51 0.26700E+04 0.90742E+03
   52 0.27970E+04 0.91131E+03
   53 0.27640E+04 0.91512E+03
   54 0.26630E+04 0.91885E+03
   55 0.26210E+04 0.92273E+03
